ds;y;pandemic
2017-03-05;83;0
2017-03-12;83;0
2017-03-19;80;0
2017-03-26;77;0
2017-04-02;68;0
2017-04-09;65;0
2017-04-16;69;0
2017-04-23;76;0
2017-04-30;69;0
2017-05-07;65;0
2017-05-14;63;0
2017-05-21;59;0
2017-05-28;55;0
2017-06-04;66;0
2017-06-11;73;0
2017-06-18;65;0
2017-06-25;77;0
2017-07-02;70;0
2017-07-09;74;0
2017-07-16;66;0
2017-07-23;83;0
2017-07-30;91;0
2017-08-06;70;0
2017-08-13;83;0
2017-08-20;91;0
2017-08-27;80;0
2017-09-03;75;0
2017-09-10;82;0
2017-09-17;68;0
2017-09-24;84;0
2017-10-01;85;0
2017-10-08;87;0
2017-10-15;72;0
2017-10-22;70;0
2017-10-29;70;0
2017-11-05;75;0
2017-11-12;72;0
2017-11-19;64;0
2017-11-26;62;0
2017-12-03;63;0
2017-12-10;65;0
2017-12-17;61;0
2017-12-24;61;0
2017-12-31;77;0
2018-01-07;91;0
2018-01-14;76;0
2018-01-21;71;0
2018-01-28;73;0
2018-02-04;88;0
2018-02-11;69;0
2018-02-18;72;0
2018-02-25;61;0
2018-03-04;72;0
2018-03-11;66;0
2018-03-18;70;0
2018-03-25;64;0
2018-04-01;66;0
2018-04-08;55;0
2018-04-15;56;0
2018-04-22;61;0
2018-04-29;62;0
2018-05-06;69;0
2018-05-13;72;0
2018-05-20;70;0
2018-05-27;52;0
2018-06-03;63;0
2018-06-10;80;0
2018-06-17;66;0
2018-06-24;51;0
2018-07-01;65;0
2018-07-08;68;0
2018-07-15;61;0
2018-07-22;67;0
2018-07-29;67;0
2018-08-05;88;0
2018-08-12;89;0
2018-08-19;96;0
2018-08-26;92;0
2018-09-02;82;0
2018-09-09;88;0
2018-09-16;78;0
2018-09-23;84;0
2018-09-30;98;0
2018-10-07;76;0
2018-10-14;97;0
2018-10-21;67;0
2018-10-28;86;0
2018-11-04;80;0
2018-11-11;77;0
2018-11-18;73;0
2018-11-25;64;0
2018-12-02;64;0
2018-12-09;71;0
2018-12-16;69;0
2018-12-23;76;0
2018-12-30;80;0
2019-01-06;100;0
2019-01-13;92;0
2019-01-20;90;0
2019-01-27;69;0
2019-02-03;71;0
2019-02-10;80;0
2019-02-17;78;0
2019-02-24;77;0
2019-03-03;71;0
2019-03-10;78;0
2019-03-17;74;0
2019-03-24;71;0
2019-03-31;63;0
2019-04-07;72;0
2019-04-14;60;0
2019-04-21;65;0
2019-04-28;73;0
2019-05-05;63;0
2019-05-12;75;0
2019-05-19;66;0
2019-05-26;45;0
2019-06-02;69;0
2019-06-09;65;0
2019-06-16;59;0
2019-06-23;58;0
2019-06-30;71;0
2019-07-07;59;0
2019-07-14;76;0
2019-07-21;68;0
2019-07-28;71;0
2019-08-04;76;0
2019-08-11;72;0
2019-08-18;80;0
2019-08-25;82;0
2019-09-01;83;0
2019-09-08;79;0
2019-09-15;89;0
2019-09-22;85;0
2019-09-29;80;0
2019-10-06;84;0
2019-10-13;82;0
2019-10-20;77;0
2019-10-27;67;0
2019-11-03;77;0
2019-11-10;75;0
2019-11-17;76;0
2019-11-24;54;0
2019-12-01;79;0
2019-12-08;58;0
2019-12-15;61;0
2019-12-22;58;0
2019-12-29;72;0
2020-01-05;78;0
2020-01-12;77;0
2020-01-19;87;0
2020-01-26;75;0
2020-02-02;70;0
2020-02-09;66;0
2020-02-16;58;0
2020-02-23;70;0
2020-03-01;59;0
2020-03-08;74;0
2020-03-15;41;1
2020-03-22;39;1
2020-03-29;68;1
2020-04-05;61;1
2020-04-12;52;1
2020-04-19;42;1
2020-04-26;32;1
2020-05-03;30;1
2020-05-10;41;1
2020-05-17;38;1
2020-05-24;25;1
2020-05-31;30;1
2020-06-07;42;1
2020-06-14;29;1
2020-06-21;36;1
2020-06-28;35;1
2020-07-05;36;1
2020-07-12;35;1
2020-07-19;45;1
2020-07-26;31;1
2020-08-02;39;1
2020-08-09;34;1
2020-08-16;38;1
2020-08-23;38;1
2020-08-30;33;1
2020-09-06;48;1
2020-09-13;43;1
2020-09-20;40;1
2020-09-27;65;1
2020-10-04;51;1
2020-10-11;45;1
2020-10-18;48;1
2020-10-25;32;1
2020-11-01;39;1
2020-11-08;54;1
2020-11-15;42;1
2020-11-22;38;1
2020-11-29;41;1
2020-12-06;46;1
2020-12-13;38;1
2020-12-20;31;1
2020-12-27;34;1
2021-01-03;31;1
2021-01-10;37;1
2021-01-17;45;1
2021-01-24;33;1
2021-01-31;35;1
2021-02-07;28;1
2021-02-14;29;1
2021-02-21;35;1
2021-02-28;30;1
2021-03-07;37;1
2021-03-14;36;1
2021-03-21;37;1
2021-03-28;28;1
2021-04-04;30;1
2021-04-11;40;1
2021-04-18;37;1
2021-04-25;32;1
2021-05-02;41;1
2021-05-09;44;1
2021-05-16;47;1
2021-05-23;33;1
2021-05-30;38;1
2021-06-06;43;1
2021-06-13;41;1
2021-06-20;38;1
2021-06-27;41;1
2021-07-04;43;1
2021-07-11;47;1
2021-07-18;32;1
2021-07-25;41;1
2021-08-01;41;1
2021-08-08;56;1
2021-08-15;52;1
2021-08-22;51;1
2021-08-29;51;1
2021-09-05;52;1
2021-09-12;51;1
2021-09-19;56;1
2021-09-26;55;1
2021-10-03;42;1
2021-10-10;42;1
2021-10-17;53;1
2021-10-24;38;1
2021-10-31;47;1
2021-11-07;53;1
2021-11-14;53;1
2021-11-21;39;1
2021-11-28;36;1
2021-12-05;44;1
2021-12-12;40;1
2021-12-19;37;1
