Week;google;pandemic;englandschoolholidays
3/5/2017;83;0;0
3/12/2017;83;0;0
3/19/2017;80;0;0
3/26/2017;77;0;0
4/2/2017;68;0;1
4/9/2017;65;0;1
4/16/2017;69;0;1
4/23/2017;76;0;1
4/30/2017;69;0;1
5/7/2017;65;0;1
5/14/2017;63;0;1
5/21/2017;59;0;1
5/28/2017;55;0;1
6/4/2017;66;0;1
6/11/2017;73;0;0
6/18/2017;65;0;0
6/25/2017;77;0;0
7/2/2017;70;0;0
7/9/2017;74;0;0
7/16/2017;66;0;0
7/23/2017;83;0;1
7/30/2017;91;0;1
8/6/2017;70;0;1
8/13/2017;83;0;1
8/20/2017;91;0;1
8/27/2017;80;0;1
9/3/2017;75;0;1
9/10/2017;82;0;1
9/17/2017;68;0;0
9/24/2017;84;0;0
10/1/2017;85;0;0
10/8/2017;87;0;0
10/15/2017;72;0;0
10/22/2017;70;0;1
10/29/2017;70;0;1
11/5/2017;75;0;1
11/12/2017;72;0;0
11/19/2017;64;0;0
11/26/2017;62;0;0
12/3/2017;63;0;0
12/10/2017;65;0;0
12/17/2017;61;0;0
12/24/2017;61;0;1
12/31/2017;77;0;1
1/7/2018;91;0;1
1/14/2018;76;0;1
1/21/2018;71;0;1
1/28/2018;73;0;1
2/4/2018;88;0;1
2/11/2018;69;0;0
2/18/2018;72;0;1
2/25/2018;61;0;1
3/4/2018;72;0;0
3/11/2018;66;0;0
3/18/2018;70;0;0
3/25/2018;64;0;0
4/1/2018;66;0;1
4/8/2018;55;0;1
4/15/2018;56;0;1
4/22/2018;61;0;1
4/29/2018;62;0;0
5/6/2018;69;0;0
5/13/2018;72;0;0
5/20/2018;70;0;0
5/27/2018;52;0;0
6/3/2018;63;0;1
6/10/2018;80;0;1
6/17/2018;66;0;0
6/24/2018;51;0;0
7/1/2018;65;0;0
7/8/2018;68;0;0
7/15/2018;61;0;0
7/22/2018;67;0;1
7/29/2018;67;0;1
8/5/2018;88;0;1
8/12/2018;89;0;1
8/19/2018;96;0;1
8/26/2018;92;0;1
9/2/2018;82;0;1
9/9/2018;88;0;1
9/16/2018;78;0;0
9/23/2018;84;0;0
9/30/2018;98;0;0
10/7/2018;76;0;0
10/14/2018;97;0;0
10/21/2018;67;0;1
10/28/2018;86;0;1
11/4/2018;80;0;1
11/11/2018;77;0;0
11/18/2018;73;0;0
11/25/2018;64;0;0
12/2/2018;64;0;0
12/9/2018;71;0;0
12/16/2018;69;0;0
12/23/2018;76;0;1
